analysis_id,86q8we5241xxv5t
mouse_strain,C57BL
gene_accession_id,MGI:99915
gene_symbol,Lamb3
parameter_id,ESLIM_011_001_010
parameter_name,PP4 + pulse startle magnitude
mouse_life_stage,Early adult
pvalue,0.8756647
