analysis_id,856d0cp64063bl6
pvalue,0.6929184
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_name,Liver weight
gene_symbol,Cntfr
