gene_symbol,Npbwr1
gene_accession_id,MGI:891989
parameter_id,IMPC_IPG_010_001
analysis_id,y44g8zcjap37h9h
mouse_strain,C57BL
parameter_name,Fasted blood glucose concentration
pvalue,0.8887628
mouse_life_stage,Early adult
