gene_symbol,Lurap1
pvalue,0.7572707
mouse_strain,C57BL
analysis_id,h9wxj192sz47ne9
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
parameter_name,Total CD4+ T cells - % of CD45+
parameter_id,MGP_MLN_064_001
