analysis_id,664uqa1071793w1
mouse_life_stage,Early adult
pvalue,0.9343664
gene_accession_id,MGI:1916222
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI2
gene_symbol,Tatdn3
parameter_id,IMPC_ACS_034_001
