mouse_life_stage,Middle aged adult
pvalue,0.1047158
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:1336200
parameter_name,Tremor
mouse_strain,C57BL
gene_symbol,Hpca
analysis_id,w111152020sna1k
