parameter_name,Heart weight
gene_accession_id,MGI:894679
analysis_id,sw478q63osr6d3j
gene_symbol,Bach2
mouse_life_stage,Early adult
parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
pvalue,0.4086614
