gene_symbol,Zmynd8
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Effector Treg cells - % of Treg
pvalue,0.9359996
parameter_id,MGP_MLN_009_001
gene_accession_id,MGI:1918025
analysis_id,g0j7195s84h1630
