parameter_id,IMPC_CAL_008_001
pvalue,0.7797993
parameter_name,Total food intake
gene_symbol,Maco1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,0cixnvh3oq62hcv
gene_accession_id,MGI:1913396
