gene_symbol,Atrn
pvalue,0.2774858
mouse_strain,C57BL
parameter_id,MGP_IMM_078_001
analysis_id,v8244b61xb854um
gene_accession_id,MGI:1341628
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
