analysis_id,mr0k9pz81lmdw00
parameter_id,IMPC_IMM_071_001
mouse_strain,C57BL
parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
gene_symbol,Mapkap1
pvalue,0.8430104
