analysis_id,5cjh69dm4vjsfo6
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7352054
parameter_id,ESLIM_011_001_704
parameter_name,Prepulse inhibition - PP4
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
