gene_symbol,Slc39a10
analysis_id,07kraf08d17a95p
parameter_id,M-G-P_007_001_010
pvalue,0.3787197
gene_accession_id,MGI:1914515
parameter_name,center - distance
mouse_life_stage,Early adult
mouse_strain,C57BL
