gene_symbol,Mov10
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.4159308
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
analysis_id,6g0cod50v984ij3
parameter_id,MGP_PBI_009_001
