gene_symbol,Inpp1
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_name,Startle response
pvalue,0.1095863
parameter_id,IMPC_CSD_036_001
mouse_strain,C57BL
analysis_id,dibhik5pkd394hk
