analysis_id,5654o3g98b4j85k
gene_symbol,Kif24
parameter_name,Haemoglobin
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
parameter_id,ESLIM_016_001_003
pvalue,0.6030747
mouse_strain,C57BL
