parameter_name,RR
pvalue,0.4082091
mouse_strain,C57BL
parameter_id,IMPC_ECG_004_001
analysis_id,495qrr527r9yn9b
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_life_stage,Early adult
