gene_symbol,Fgb
gene_accession_id,MGI:99501
parameter_id,MGP_IMM_001_001
mouse_strain,C57BL
pvalue,0.2509896
parameter_name,Total T cells - % of CD45+
mouse_life_stage,E15.5
analysis_id,60f4sw3zf57y4c3
