parameter_name,lens opacity
parameter_id,M-G-P_014_001_010
pvalue,0.8734301
mouse_strain,129SV
mouse_life_stage,Early adult
analysis_id,707gc0h26ci2535
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
