analysis_id,c206260b7ca34re
parameter_id,MGP_MLN_032_001
mouse_strain,C57BL
gene_symbol,Kcng1
pvalue,0.05234081
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
parameter_name,Effector NK cells - % of NK cells
