analysis_id,4890490x4w8c689
parameter_name,Total CD4+ T cells - % of CD45+
parameter_id,MGP_IMM_071_001
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_strain,C57BL
pvalue,0.8542439
mouse_life_stage,Middle aged adult
