analysis_id,isqh09410h36s1l
parameter_name,Center average speed
pvalue,0.1433862
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_017_001
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
