analysis_id,312g78jf8q56i69
gene_symbol,Cdin1
parameter_id,MGP_PBI_015_001
mouse_life_stage,E9.5
pvalue,0.6388454
mouse_strain,C57BL
gene_accession_id,MGI:3026886
parameter_name,IgD+ mature B cell percentage
