parameter_name,Vocalization
parameter_id,IMPC_CSD_078_001
pvalue,0.7381825
analysis_id,lwt2koh9r6rzk20
gene_symbol,Wars2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1917810
