analysis_id,08ye7jtj6mp71hz
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
pvalue,0.6966181
parameter_name,Prepulse inhibition - PP3
mouse_strain,C57BL
parameter_id,ESLIM_011_001_703
