analysis_id,3o8jojfaqeti16d
mouse_strain,C57BL
parameter_id,IMPC_GEO_019_001
gene_symbol,Eprs1
pvalue,0.1353483
parameter_name,Embryo Size
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
