gene_symbol,Golm2
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.4397019
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
mouse_strain,C57BL
analysis_id,q3c5re29iht2h37
parameter_id,MGP_IMM_006_001
