parameter_name,Basophil cell count
gene_accession_id,MGI:1913483
pvalue,0.557014
gene_symbol,Dmap1
analysis_id,f695lx2g42ub2zh
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_037_001
