parameter_name,Startle response
mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_id,MGP_CSD_008_001
gene_accession_id,MGI:88174
analysis_id,727422r4636022t
gene_symbol,Bmi1
pvalue,0.2927431
