gene_symbol,Ufc1
parameter_id,M-G-P_016_001_005
parameter_name,Mean-cell-volume
pvalue,0.7666727
mouse_strain,C57BL
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
analysis_id,3ga65ep7312g1xq
