gene_symbol,Ncaph
gene_accession_id,MGI:2444777
parameter_name,Cornea vascularisation
analysis_id,zn1n8nox8550362
parameter_id,ESLIM_014_001_008
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9648976
