parameter_name,Facial Morphology
pvalue,0.4904148
gene_symbol,Kdm4c
analysis_id,s75710ft0s910n4
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
