analysis_id,oa902k2u47o6792
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cisd2
parameter_name,Prepulse inhibition - PP2
pvalue,0.202153
parameter_id,ESLIM_011_001_702
