analysis_id,9xl8m6i12y8279m
mouse_life_stage,Late adult
parameter_id,IMPC_ACS_034_001
pvalue,0.1532377
gene_symbol,Tbl1xr1
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI2
gene_accession_id,MGI:2441730
