analysis_id,uw27pud9l7aymd7
gene_accession_id,MGI:1917604
pvalue,0.1990295
gene_symbol,Secisbp2l
mouse_strain,C57BL
parameter_name,Limb morphology
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
