parameter_name,Delayed embryonic development
pvalue,0.9387136
gene_symbol,Dmap1
parameter_id,IMPC_GEL_063_001
mouse_strain,C57BL
analysis_id,264eig0eguw1h51
gene_accession_id,MGI:1913483
mouse_life_stage,E9.5
