gene_symbol,Rufy4
parameter_name,Distance travelled - total
pvalue,0.2906994
gene_accession_id,MGI:3588214
parameter_id,JAX_OFD_020_001
analysis_id,g6nu6tzzs59m49l
mouse_life_stage,Early adult
mouse_strain,C57BL
