analysis_id,2nn6437a33hi3b7
parameter_name,Alanine aminotransferase
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
pvalue,0.6021189
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_life_stage,Late adult
