analysis_id,tctb6y5735eh887
gene_symbol,Kdm4c
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:1924054
mouse_strain,C57BL
pvalue,0.8067769
parameter_name,Limb morphology
mouse_life_stage,Early adult
