parameter_name,Neutrophils
pvalue,0.4331497
mouse_strain,C57BL
gene_accession_id,MGI:1922745
analysis_id,4grka9qz38vv0gp
mouse_life_stage,Early adult
gene_symbol,Morn5
parameter_id,IMPC_IMM_050_001
