analysis_id,v701m0rmkspnr7x
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_018_001
parameter_name,Ly6Clow monocyte percentage
gene_symbol,Sla2
gene_accession_id,MGI:1925049
pvalue,0.5147615
