analysis_id,4j94q99z9sdd642
gene_accession_id,MGI:1917604
mouse_strain,C57BL
pvalue,0.09564271
parameter_name,Calcium
gene_symbol,Secisbp2l
parameter_id,HMGULA_CBC_009_001
mouse_life_stage,Early adult
