gene_symbol,Cd52
gene_accession_id,MGI:1346088
parameter_name,Snout size
analysis_id,728x261k9hslux7
pvalue,0.8745853
parameter_id,MGP_CSD_067_001
mouse_strain,C57BL
mouse_life_stage,Early adult
