analysis_id,qx1i87329a9d15b
mouse_life_stage,Early adult
pvalue,0.192225
parameter_name,Limb coat/hair presence
gene_symbol,Extl1
mouse_strain,C57BL
gene_accession_id,MGI:1888742
parameter_id,MGP_CSD_030_001
