analysis_id,52pu6a3yqpie8xe
gene_accession_id,MGI:1914515
parameter_id,IMPC_EYE_007_001
pvalue,1.168455
parameter_name,Cornea
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Slc39a10
