parameter_name,Chloride
gene_symbol,Wars2
pvalue,0.8124225
mouse_strain,C57BL
gene_accession_id,MGI:1917810
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,E9.5
analysis_id,1etku38s37x92v5
