parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:88071
analysis_id,4177z50i8f61h1q
mouse_life_stage,Early adult
gene_symbol,Arnt
parameter_name,Limb coat/hair presence
mouse_strain,C57BL
pvalue,0.524126
