analysis_id,b5z637z4a0aji85
pvalue,0.05637714
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,IMPC_IMM_004_002
gene_accession_id,MGI:1920638
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_symbol,Bpifa3
