analysis_id,4g3930lc3862181
parameter_id,IMPC_HEM_029_001
mouse_strain,C57BL
parameter_name,Neutrophil differential count
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
pvalue,0.3647144
gene_symbol,Bcs1l
