analysis_id,786613o3yu8g195
parameter_name,HDL-cholesterol
gene_accession_id,MGI:3616086
parameter_id,HMGULA_CBC_016_001
mouse_life_stage,Early adult
pvalue,0.1262386
gene_symbol,Kcng1
mouse_strain,C57BL
