parameter_name,Snout size
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_028_001
analysis_id,8hn68m22vmpo975
gene_symbol,Bach2
pvalue,0.4517754
