analysis_id,1523xl2k496pk47
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
gene_symbol,Ncaph
parameter_name,Fusion of vertebrae
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
pvalue,0.6199674
