analysis_id,4o831v3dskx5y55
mouse_strain,C57BL
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
pvalue,0.08141747
gene_symbol,Ahctf1
parameter_name,Total T cell percentage
parameter_id,MGP_PBI_001_001
