analysis_id,0z3241ci14xq33z
parameter_id,IMPC_XRY_022_001
parameter_name,Radius
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Zmynd8
pvalue,0.1729445
