parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
analysis_id,s173x93z95h818n
mouse_strain,C57BL
gene_accession_id,MGI:108072
pvalue,0.2988988
mouse_life_stage,Early adult
gene_symbol,Traf6
