parameter_id,IMPC_CSD_079_001
parameter_name,Aggression
gene_accession_id,MGI:1913405
pvalue,0.1049884
analysis_id,0e378m4ayl9m065
gene_symbol,Ufc1
mouse_strain,C57BL
mouse_life_stage,Early adult
