parameter_name,Thoracic processes
mouse_strain,C57BL
analysis_id,78i1jxvahcj0few
parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_life_stage,E12.5
pvalue,0.1797342
