analysis_id,d64bd89brgpix1g
parameter_name,Follicular B cells - % of CD45+
gene_accession_id,MGI:97838
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_id,MGP_IMM_112_001
mouse_life_stage,E9.5
pvalue,0.6573813
