analysis_id,7w83k392617w0py
parameter_name,DN CD44+CD62L- NKT cells
parameter_id,IMPC_IMM_046_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
pvalue,0.2392268
