gene_symbol,Gfi1b
pvalue,0.4129184
gene_accession_id,MGI:1276578
parameter_id,M-G-P_016_001_001
analysis_id,0kutkmk08tf1o2h
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,White blood cell-count
