gene_symbol,Nr0b2
mouse_strain,B6J
pvalue,0.6494257
mouse_life_stage,Early adult
parameter_name,Follicular B cells - % of CD45+
parameter_id,MGP_IMM_112_001
analysis_id,3k564f4y6u6224x
gene_accession_id,MGI:1346344
