gene_symbol,Lurap1
analysis_id,840884zho7c26l2
mouse_strain,C57BL
gene_accession_id,MGI:1915325
pvalue,0.3434214
parameter_id,IMPC_DXA_003_001
parameter_name,Lean mass
mouse_life_stage,Early adult
