parameter_id,IMPC_GRS_008_001
mouse_strain,C57BL
gene_symbol,Tbl1xr1
analysis_id,t6g9kdt3ir04aq3
pvalue,0.9641945
gene_accession_id,MGI:2441730
parameter_name,Forelimb grip strength measurement mean
mouse_life_stage,Late adult
