analysis_id,8a3z1708n07a197
mouse_life_stage,Early adult
pvalue,0.7818221
mouse_strain,C57BL
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
parameter_id,JAX_SLW_014_001
parameter_name,Breath rate during sleep standard deviation
